Relatório de palavras-chave da rede de pesquisa
1 de junho de 2026 - 30 de junho de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Impr.,Interações,Taxa de interação,Código da moeda,Custo médio,Custo,Cliques,CTR,Taxa de conv.,Conversões,Custo / conv.
Ativado,food health,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,healthy drink,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,weight loss retreat germany,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,antioxidants,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate a,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,organic foods benefits,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,yerba mate tea near me,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,mate tea,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,healthy meal recipe,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate de,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,health & weight loss,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,teas & herbs,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,ca mate,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate tea,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,brazilian tea,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,healthy recipes,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,healthy smoothie ideas,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,hydration for health,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba tea,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,mate diet,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,yerba mate deutschland,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,buy yerba mate tea,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,lose fat,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,yerba mate rio de janeiro,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,buy yerba mate,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,organic yerba mate tea,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,buy yerba mate in bulk,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,food and health,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,yerba drink,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,anti inflammatory diet,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate drink,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Pausado,mate herbal,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Pausado,campanha pausada; pausado,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,superfoods for energy,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,order yerba mate,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,mate tea benefits,Correspondência ampla,Pesquisa - Exterior,Yerba Mate,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,natural yerba mate extract,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,healthy drink,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate supplement,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,yerba mate liquid form,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada; raramente exibido,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
Ativado,plant-based energizer,Correspondência ampla,Pesquisa - Exterior,Extratos,Não qualificado,campanha pausada; raramente exibido,,0,0, --,BRL,0,"0,00",0, --,"0,00%","0,00","0,00"
